session_id,visitor_id,site_id,timestamp,device,source,converted,session_duration,pages_viewed,bounce_rate,scroll_depth,clicks,events_count,revenue,is_bot,is_fraud
s_000000,u_002764,site_001,2026-04-01 21:20:44,desktop,google,True,375,3,0,98,10,18,313,False,False
s_000001,u_000789,site_002,2026-04-01 23:50:16,tablet,direct,True,493,3,0,13,7,20,168,False,False
s_000002,u_000777,site_001,2026-04-01 07:30:18,desktop,google,False,50,6,0,91,9,12,0,False,False
s_000003,u_000913,site_001,2026-04-01 02:30:43,desktop,instagram,False,395,6,0,56,4,20,0,False,False
s_000004,u_002366,site_002,2026-04-01 02:01:15,mobile,direct,False,253,6,0,94,9,5,0,False,False
s_000005,u_002356,site_001,2026-04-01 03:13:27,desktop,direct,False,33,4,0,23,4,12,0,False,False
s_000006,u_000685,site_001,2026-04-01 01:46:59,desktop,direct,False,374,3,0,48,3,16,0,False,False
s_000007,u_001054,site_001,2026-04-01 17:44:03,desktop,linkedin,False,286,3,0,12,1,4,0,False,False
s_000008,u_001847,site_001,2026-04-01 02:41:56,tablet,linkedin,False,249,3,0,50,7,13,0,False,False
s_000009,u_000572,site_001,2026-04-01 04:14:20,mobile,google,False,539,1,1,28,8,13,0,False,False
s_000010,u_002148,site_002,2026-04-01 03:27:22,tablet,direct,False,282,5,0,27,2,5,0,False,False
s_000011,u_001255,site_002,2026-04-01 04:28:15,mobile,linkedin,False,483,3,0,60,2,1,0,False,False
s_000012,u_001635,site_002,2026-04-01 13:53:15,tablet,linkedin,True,231,4,0,73,10,2,191,False,False
s_000013,u_000021,site_001,2026-04-01 17:33:25,tablet,direct,False,393,4,0,81,5,16,0,False,False
s_000014,u_000926,site_002,2026-04-01 03:24:07,mobile,linkedin,True,417,4,0,69,10,1,59,False,False
s_000015,u_000662,site_001,2026-04-01 01:18:48,tablet,direct,False,395,4,0,20,8,2,0,False,False
s_000016,u_000640,site_002,2026-04-01 03:31:01,tablet,instagram,False,393,5,0,76,2,14,0,False,False
s_000017,u_000841,site_002,2026-04-01 05:01:00,desktop,google,False,527,2,0,85,8,1,0,False,False
s_000018,u_001238,site_001,2026-04-01 13:52:28,mobile,direct,False,312,2,0,85,5,10,0,False,False
s_000019,u_001150,site_002,2026-04-01 11:10:57,mobile,linkedin,False,580,1,1,70,3,14,0,False,False
s_000020,u_001126,site_001,2026-04-01 07:07:36,desktop,facebook,False,19,5,0,37,7,17,0,False,False
s_000021,u_000998,site_002,2026-04-01 06:49:42,desktop,google,False,97,3,0,66,3,2,0,False,False
s_000022,u_002338,site_002,2026-04-01 07:35:26,mobile,instagram,False,198,2,0,44,2,20,0,False,False
s_000023,u_000044,site_002,2026-04-01 23:45:24,desktop,linkedin,False,41,1,1,26,3,6,0,False,False
s_000024,u_002114,site_001,2026-04-01 15:13:51,desktop,facebook,True,290,6,0,83,4,20,338,False,False
s_000025,u_000765,site_002,2026-04-01 19:02:42,tablet,direct,True,458,4,0,90,4,20,214,False,False
s_000026,u_001834,site_002,2026-04-01 11:11:23,mobile,google,False,389,3,0,92,8,15,0,False,False
s_000027,u_001294,site_001,2026-04-01 19:31:05,mobile,direct,False,282,2,0,95,5,19,0,False,False
s_000028,u_002983,site_002,2026-04-01 21:08:55,tablet,direct,False,356,4,0,96,3,10,0,False,False
s_000029,u_000356,site_001,2026-04-01 06:22:59,tablet,direct,False,69,1,1,10,4,8,0,False,False
s_000030,u_001411,site_002,2026-04-01 09:01:11,desktop,google,False,216,5,0,73,12,16,0,True,False
s_000031,u_000401,site_002,2026-04-01 04:24:05,tablet,google,False,122,6,0,55,9,1,0,False,False
s_000032,u_000713,site_001,2026-04-01 21:19:47,mobile,google,False,68,3,0,18,10,4,0,False,False
s_000033,u_002840,site_002,2026-04-01 14:43:11,desktop,facebook,False,51,5,0,81,10,9,0,False,False
s_000034,u_001899,site_001,2026-04-01 09:18:25,tablet,direct,False,442,2,0,35,1,13,0,False,False
s_000035,u_002078,site_002,2026-04-01 01:57:18,desktop,linkedin,True,355,5,0,18,11,13,471,True,False
s_000036,u_001045,site_001,2026-04-01 01:16:47,mobile,google,False,250,5,0,23,8,10,0,False,False
s_000037,u_001570,site_001,2026-04-01 10:15:42,tablet,google,False,85,5,0,85,3,4,0,False,False
s_000038,u_002467,site_001,2026-04-01 11:45:34,mobile,instagram,False,107,5,0,21,3,6,0,False,False
s_000039,u_000976,site_002,2026-04-01 16:10:02,mobile,direct,False,233,4,0,27,1,15,0,False,False
s_000040,u_000369,site_001,2026-04-01 12:57:27,mobile,google,False,476,4,0,66,4,1,0,False,False
s_000041,u_000788,site_001,2026-04-01 06:42:58,desktop,linkedin,False,192,4,0,16,2,6,0,False,False
s_000042,u_001680,site_002,2026-04-01 15:38:27,desktop,google,False,52,5,0,40,1,12,0,False,False
s_000043,u_001685,site_002,2026-04-01 08:52:53,tablet,google,False,344,6,0,27,9,5,0,False,False
s_000044,u_002543,site_002,2026-04-01 08:12:55,desktop,google,False,515,2,0,94,7,9,0,False,False
s_000045,u_001316,site_002,2026-04-01 07:25:16,tablet,instagram,False,331,6,0,31,3,1,0,False,False
s_000046,u_000856,site_001,2026-04-01 20:12:41,desktop,direct,False,600,1,1,14,12,16,0,True,False
s_000047,u_000369,site_002,2026-04-01 00:07:43,desktop,google,False,199,6,0,52,3,1,0,False,False
s_000048,u_001434,site_002,2026-04-01 08:41:56,desktop,direct,False,95,2,0,19,10,14,0,False,False
s_000049,u_000494,site_001,2026-04-01 23:26:18,tablet,linkedin,False,254,1,1,81,2,17,0,False,False
s_000050,u_002711,site_002,2026-04-01 13:39:21,mobile,instagram,True,409,5,0,76,11,15,72,True,False
s_000051,u_002119,site_002,2026-04-01 00:45:50,tablet,facebook,False,166,5,0,47,5,15,0,False,False
s_000052,u_000592,site_002,2026-04-01 13:05:07,desktop,linkedin,False,554,1,1,20,3,8,0,False,False
s_000053,u_000266,site_001,2026-04-01 09:48:14,mobile,linkedin,False,136,4,0,61,0,2,0,False,False
s_000054,u_002207,site_002,2026-04-01 15:31:36,desktop,direct,False,102,3,0,25,4,19,0,False,False
s_000055,u_001252,site_002,2026-04-01 04:43:33,mobile,direct,False,374,1,1,22,4,8,0,False,False
s_000056,u_000453,site_001,2026-04-01 15:58:24,mobile,linkedin,False,375,3,0,35,12,16,0,True,False
s_000057,u_002179,site_001,2026-04-01 03:01:38,mobile,direct,False,100,5,0,29,3,2,0,False,False
s_000058,u_001797,site_002,2026-04-01 17:40:16,tablet,facebook,False,240,6,0,97,9,14,0,False,False
s_000059,u_002206,site_001,2026-04-01 01:17:46,desktop,google,False,131,4,0,20,9,5,0,False,False
s_000060,u_002962,site_001,2026-04-01 06:13:57,mobile,direct,True,483,3,0,45,11,17,281,True,False
s_000061,u_002353,site_002,2026-04-01 02:38:07,tablet,instagram,True,591,5,0,22,9,18,59,False,False
s_000062,u_000591,site_002,2026-04-01 22:16:14,desktop,instagram,False,192,5,0,24,7,3,0,False,False
s_000063,u_002429,site_001,2026-04-01 05:55:15,mobile,instagram,False,293,1,1,70,7,2,0,False,False
s_000064,u_002735,site_001,2026-04-01 17:10:41,desktop,google,False,586,3,0,64,9,18,0,False,False
s_000065,u_000356,site_001,2026-04-01 01:09:09,mobile,linkedin,False,554,2,0,51,0,3,0,False,False
s_000066,u_000098,site_001,2026-04-01 08:40:49,mobile,facebook,False,338,5,0,83,7,15,0,False,False
s_000067,u_000963,site_001,2026-04-01 23:48:59,mobile,linkedin,False,27,4,0,79,3,20,0,False,False
s_000068,u_000741,site_001,2026-04-01 17:41:04,desktop,facebook,False,359,1,1,37,10,4,0,False,False
s_000069,u_001594,site_001,2026-04-01 11:57:54,tablet,instagram,False,12,2,0,76,7,11,0,False,False
s_000070,u_000655,site_001,2026-04-01 23:59:24,tablet,direct,False,205,3,0,50,12,10,0,True,False
s_000071,u_000375,site_001,2026-04-01 00:47:21,desktop,instagram,False,384,6,0,57,10,17,0,False,False
s_000072,u_002573,site_001,2026-04-01 22:32:00,desktop,direct,False,484,2,0,44,9,17,0,False,False
s_000073,u_001156,site_001,2026-04-01 15:12:37,desktop,facebook,False,196,6,0,86,8,5,0,False,False
s_000074,u_000088,site_001,2026-04-01 09:40:30,desktop,google,False,151,1,1,89,7,20,0,False,False
s_000075,u_003000,site_002,2026-04-01 06:41:52,tablet,facebook,True,384,5,0,38,4,5,243,False,False
